fid,Region,Departemen,Commune,Designatio,No_IRH,Long,Lat,Entreprise,Type_Ouvra,Date_Recep,Aquifere,Prof__Tota,X_dd,Y_dd,ProfTOt
1791,LOUGA,KEBEMER,Kab Gaye,THIABAM,"05-5X-0009","-16°37'55""","15°23'45""",INTRAFOR,Piezometre,1973/11/29,Continental terminal,84.5,-16.6319444444,15.3958333333,84.5
1792,LOUGA,KEBEMER,Kab Gaye,THIALLE,"05-8X-0074","-16°36'30""","15°16'10""",WVI,Forage,1989/05/25,Quaternaire,65,-16.6083333333,15.2694444444,65
1793,LOUGA,KEBEMER,Kanene Ndiob,DAROU DIAPAT,"05-6X-0097","-16°14'10""","15°25'20""",WVI,Forage,1987/07/08,Eocene,63,-16.2361111111,15.4222222222,63
1794,LOUGA,KEBEMER,Kanene Ndiob,KHELY,"05-6X-0155","-16°14'00""","15°25'20""",SASIF,Forage,1998/10/03,Paleocene,79,-16.2333333333,15.4222222222,79
1795,LOUGA,KEBEMER,Kanene Ndiob,NDAM MOR FADEMBA,"05-6X-0088","-16°13'40""","15°21'50""",WVI,Forage,1987/01/16,Eocene,62,-16.2277777778,15.3638888889,62
1796,LOUGA,KEBEMER,Kanene Ndiob,NDIAWENE NDIOP,"05-6X-0834","-16°11'58""","15°24'07""",,Puits moderne,,Eocene,38.49,-16.1994444444,15.4019444444,38.49
1797,LOUGA,KEBEMER,Kanene Ndiob,NDIOB SAMB,"05-6X-0056","-16°14'40""","15°24'50""",WVI,Forage,1987/07/04,Eocene,60,-16.2444444444,15.4138888889,60
1798,LOUGA,KEBEMER,Kanene Ndiob,NDIOUGUENE NDIOUCK,"05-6X-0029","-16°08'26""","15°22'23""",PRAKLA,Forage-puits,1985/07/30,Maastrichtien,363,-16.1405555556,15.3730555556,363
1799,LOUGA,KEBEMER,Kanene Ndiob,NGUIMBE PEULH,"05-6X-0025","-16°11'25""","15°22'40""",INTRAFOR,Forage,1983/04/09,Eocene,58.7,-16.1902777778,15.3777777778,58.7
1800,LOUGA,KEBEMER,Loro,DIORO MAMA NDIAYE,"05-6X-0022","-16°02'15""","15°22'55""",SASIF,Forage-puits,1984/04/17,Maastrichtien,304,-16.0375,15.3819444444,304
1801,LOUGA,KEBEMER,Loro,KABDOU,"05-9X-0019","-16°04'30""","15°18'56""",,Puits-forage,1983/06/18,Eocene,77.55,-16.075,15.3155555556,77.55
1802,LOUGA,KEBEMER,Loro,KEUR AMADOU YALLA,"05-6X-0010","-16°04'00""","15°23'15""",SONAFOR,Forage-puits,1976/11/16,Maastrichtien,331.7,-16.0666666667,15.3875,331.7
1803,LOUGA,KEBEMER,Loro,KEUR AMADOU YALLA,"05-6X-0064","-16°04'00""","15°23'12""",,Forage,1986/07/17,Maastrichtien,315,-16.0666666667,15.3866666667,315
1804,LOUGA,KEBEMER,Loro,MBAR SECK,"05-9X-0008","-16°02'41""","15°19'01""",,Puits-forage,1976/09/16,Maastrichtien,336,-16.0447222222,15.3169444444,336
1805,LOUGA,KEBEMER,Loro,MERINA KA TIDIANE,"05-6X-0027","-16°05'39""","15°20'24""",SONAFOR,Puits-forage,1984/11/20,Maastrichtien,319.61,-16.0941666667,15.34,319.61
1806,LOUGA,KEBEMER,Loro,NGOL GOUREYE,"05-9X-0024","-16°03'55""","15°18'16""",PRAKLA,Forage-puits,1985/12/14,Maastrichtien,350,-16.0652777778,15.3044444444,350
1807,LOUGA,KEBEMER,Loro,THILMAKHA NGOL,"05-9X-0025","-16°04'34""","15°19'14""",PRAKLA,Forage-puits,1985/10/14,Maastrichtien,355,-16.0761111111,15.3205555556,355
1808,LOUGA,KEBEMER,Loro,THIONE KHOUMA,"05-9X-0026","-16°07'29""","15°17'08""",PRAKLA,Forage-puits,1985/09/09,Maastrichtien,355,-16.1247222222,15.2855555556,355
1809,LOUGA,KEBEMER,Mbacke Kadior,MBACKE KADIOR,"05-9X-0029","-16°11'50""","15°06'50""",SASIF,Forage,1984/10/25,Maastrichtien,351.78,-16.1972222222,15.1138888889,351.78
1810,LOUGA,KEBEMER,Mbacke Kadior,MERINA DIOP I,"05-9X-0033","-16°10'35""","15°07'50""",SONAFOR,Forage,1990/04/06,Maastrichtien,337,-16.1763888889,15.1305555556,337
1811,LOUGA,KEBEMER,Mbacke Kadior,THIOURANG PEULH,"05-9X-0337","-16°11'57""","15°11'02""",CSL SENEGAL,Forage,2010/05/24,Maastrichtien,358,-16.1991666667,15.1838888889,358
1812,LOUGA,KEBEMER,Mbadiane,BOUCHRA,"06-7X-0020","-15°54'05""","15°00'00""",SASIF,Forage,2004/08/14,Maastrichtien,300,-15.9013888889,15,300
1813,LOUGA,KEBEMER,Mbadiane,DAROU MINAME PETE,"06-7X-0006","-15°50'00""","15°08'40""",SONAFOR,Forage-puits,1975/06/19,Maastrichtien,313,-15.8333333333,15.1444444444,313
1814,LOUGA,KEBEMER,Mbadiane,MBADIANE,"06-7X-0012","-15°52'04""","15°06'04""",SOBEA,Forage,1986/02/03,Maastrichtien,260,-15.8677777778,15.1011111111,260
1815,LOUGA,KEBEMER,Mbadiane,NAILOU MARAME,"06-7X-0010","-15°53'15""","15°03'00""",CDE,Puits moderne,1998/08/25,Paleocene,92.83,-15.8875,15.05,92.83
1816,LOUGA,KEBEMER,Mbadiane,TAIF DIOP,"06-7X-0003","-15°52'19""","15°02'30""",SASIF,Forage,1962/09/12,Maastrichtien,320.05,-15.8719444444,15.0416666667,320.05
1817,LOUGA,KEBEMER,Mbadiane,TAIF DIOP,"06-7X-0059","-15°52'42""","15°02'45""",CGC,Forage,2007/08/21,Maastrichtien,280,-15.8783333333,15.0458333333,280
1818,LOUGA,KEBEMER,Mbadiane,TOUBA BELEL 1,"06-7X-0005","-15°50'05""","15°06'20""",SONAFOR,Forage,1975/04/08,Maastrichtien,310,-15.8347222222,15.1055555556,310
1819,LOUGA,KEBEMER,Mbadiane,TOUBA BELEL 2,"06-7X-0014","-15°50'30""","15°02'00""",SONAFOR,Forage,1986/12/10,Maastrichtien,274,-15.8416666667,15.0333333333,274
1820,LOUGA,KEBEMER,Ndande,DAKHAR NGOGNE,"05-8X-0038","-16°34'20""","15°13'05""",INTRAFOR,Forage,1981/06/22,Eocene,80.1,-16.5722222222,15.2180555556,80.1
1821,LOUGA,KEBEMER,Ndande,DALLE,"05-8X-0073","-16°35'45""","15°16'10""",WVI,Forage,1989/12/31,Quaternaire,63,-16.5958333333,15.2694444444,63
1822,LOUGA,KEBEMER,Ndande,GATI RAT,"05-8X-0060","-16°37'30""","15°12'30""",WVI,Forage,1989/05/27,Quaternaire,56.7,-16.625,15.2083333333,56.7
1823,LOUGA,KEBEMER,Ndande,GATY RAT BIS,"05-8X-0253","-16°37'40""","15°12'22""",WVI,Forage,1997/10/16,Quaternaire,62,-16.6277777778,15.2061111111,62
1824,LOUGA,KEBEMER,Ndande,GOUYE MEO,"05-8X-0064","-16°36'05""","15°15'15""",WVI,Forage,,Quaternaire,63,-16.6013888889,15.2541666667,63
1825,LOUGA,KEBEMER,Ndande,KEBEMER,"05-5X-0002","-16°26'25""","15°22'25""",SONAFOR,Forage,1978/02/06,Eocene,76.5,-16.4402777778,15.3736111111,76.5
1826,LOUGA,KEBEMER,Ndande,KEBEMER,"05-5X-0004","-16°26'25""","15°22'25""",SONAFOR,Sondage,1979/07/19,,100,-16.4402777778,15.3736111111,100
1827,LOUGA,KEBEMER,Ndande,KEBEMER  P50,"05-5X-0016","-16°27'04""","15°22'27""",SONAFOR,Piezometre,1978/04/14,Continental terminal,100,-16.4511111111,15.3741666667,100
1828,LOUGA,KEBEMER,Ndande,KELLE,"05-8X-0001","-16°34'55""","15°11'10""",HYDRAF,Forage,1939/11/18,Quaternaire,459,-16.5819444444,15.1861111111,459
1829,LOUGA,KEBEMER,Ndande,KELLE,"05-8X-0002","-16°35'10""","15°11'40""",SASIF,Forage,1978/07/04,Eocene,84,-16.5861111111,15.1944444444,84
1830,LOUGA,KEBEMER,Ndande,KELLE,"05-8X-0003","-16°35'00""","15°12'00""",SASIF,Piezometre,1978/04/24,Eocene,65.15,-16.5833333333,15.2,65.15
1831,LOUGA,KEBEMER,Ndande,KELLE,"05-8X-0032","-16°34'50""","15°12'00""",SASIF,Sondage,1978/05/31,,73.5,-16.5805555556,15.2,73.5
1832,LOUGA,KEBEMER,Ndande,KELLE,"05-8X-0045","-16°35'30""","15°11'10""",SASIF,Forage,1984/04/07,Eocene,97,-16.5916666667,15.1861111111,97
1833,LOUGA,KEBEMER,Ndande,KELLE,"05-8X-0046","-16°35'20""","15°11'00""",SASIF,Forage,1984/04/25,Eocene,95,-16.5888888889,15.1833333333,95
1834,LOUGA,KEBEMER,Ndande,KELLE,"05-8X-0214","-16°34'55""","15°11'10""",WVI,Forage,1994/06/30,Eocene,101,-16.5819444444,15.1861111111,101
1835,LOUGA,KEBEMER,Ndande,KELLE F4 bis,"05-8X-0004","-16°35'20""","15°11'20""",SONAFOR,Forage,1979/06/01,Eocene,94,-16.5888888889,15.1888888889,94
1836,LOUGA,KEBEMER,Ndande,MBAKA LO P.52,"05-8X-0025","-16°33'32""","15°14'02""",INTRAFOR,Piezometre,1977/03/18,Continental terminal,90,-16.5588888889,15.2338888889,90
1837,LOUGA,KEBEMER,Ndande,MERINA DIOP PEULH,"05-5X-0437","-16°30'40""","15°20'07""",,Puits moderne,,Eocene,39.6,-16.5111111111,15.3352777778,39.6
1838,LOUGA,KEBEMER,Ndande,NDANDE,"05-5X-0015","-16°29'40""",,SASIF,Sondage,1978/06/06,Continental terminal,78,-16.4944444444,0,78
1839,LOUGA,KEBEMER,Ndande,NDANDE,"05-8X-0014","-16°31'25""","15°16'40""",INTRAFOR,Forage,1974/07/20,Quaternaire,85.8,-16.5236111111,15.2777777778,85.8
1840,LOUGA,KEBEMER,Ndande,NDANDE,"05-8X-0985","-16°29'40""","15°20'25""",SONAFOR,Forage,1994/06/09,Eocene,110,-16.4944444444,15.3402777778,110
1841,LOUGA,KEBEMER,Ndande,NDIALENE,"05-8X-0030","-16°34'00""","15°13'05""",SASIF,Forage,1978/08/04,Eocene,64,-16.5666666667,15.2180555556,64
1842,LOUGA,KEBEMER,Ndande,NDIE CODOU PAM  F. I,"05-8X-0022","-16°33'35""","15°15'20""",SONAFOR,Forage,1977/07/02,Eocene,89,-16.5597222222,15.2555555556,89
1843,LOUGA,KEBEMER,Ndande,NDIE CODOU PAM POINT 276,"05-8X-0021","-16°33'35""","15°15'20""",INTRAFOR,Piezometre,1975/12/07,Eocene,97.5,-16.5597222222,15.2555555556,97.5
1844,LOUGA,KEBEMER,Ndande,NDIENG DIAW,"05-5X-0096","-16°28'33""","15°20'28""",SENEGAL/SONA FOR,Forage,1998/06/29,Eocene,107,-16.4758333333,15.3411111111,107
1845,LOUGA,KEBEMER,Ndande,PALLENE DED,"05-8X-0984","-16°38'00""","15°13'40""",CGC,Forage,2007/02/04,Quaternaire,60,-16.6333333333,15.2277777778,60
1846,LOUGA,KEBEMER,Ndande,PALMEO,"05-8X-0027","-16°33'10""","15°15'10""",INTRAFOR,Forage,1977/04/14,Eocene,105,-16.5527777778,15.2527777778,105
1847,LOUGA,KEBEMER,Ndande,PALMEO F2Bis P.53,"05-8X-0023","-16°32'58""","15°15'09""",SONAFOR,Forage,1977/07/06,Eocene,93,-16.5494444444,15.2525,93
1848,LOUGA,KEBEMER,Ndande,PALMEO VILLAGE  P51,"05-8X-0026","-16°32'45""","15°15'55""",INTRAFOR,Piezometre,1979/03/29,Eocene,119.5,-16.5458333333,15.2652777778,119.5
1849,LOUGA,KEBEMER,Ndande,THYLL,"05-8X-0020","-16°36'10""","15°09'45""",INTRAFOR,Sondage,1975/11/23,,94.7,-16.6027777778,15.1625,94.7
1850,LOUGA,KEBEMER,Ndande,WAKHAL DIAM,"05-5X-0094","-16°27'48""","15°21'11""",SENEGAL/SONA FOR,Forage,1998/10/10,Eocene,125,-16.4633333333,15.3530555556,125
1851,LOUGA,KEBEMER,Ndoyene,MBEY 1,"05-9X-0310","-16°05'57""","15°11'50""",,Puits moderne,,Eocene,58.7,-16.0991666667,15.1972222222,58.7
1852,LOUGA,KEBEMER,Ndoyene,NGUEMBE,"05-9X-0324","-16°04'38""","15°16'15""",,Puits moderne,,Eocene,42.37,-16.0772222222,15.2708333333,42.37
1853,LOUGA,KEBEMER,Ndoyene,TAICIR,"05-9X-0012","-16°03'50""","15°11'30""",SONAFOR,Forage,1979/11/10,Maastrichtien,306,-16.0638888889,15.1916666667,306
1854,LOUGA,KEBEMER,Ngourane Ouolof,BAKAHYA NDIAYE,"05-6X-0032","-16°19'13""","15°27'39""",SASIF,Forage,1986/09/25,Eocene,100,-16.3202777778,15.4608333333,100
1855,LOUGA,KEBEMER,Ngourane Ouolof,GATTI NIANG,"05-5X-0032","-16°22'00""","15°24'35""",WVI,Forage,1987/11/18,Eocene,49.6,-16.3666666667,15.4097222222,49.6
1856,LOUGA,KEBEMER,Ngourane Ouolof,GATTY NIANG,"05-5X-0106","-16°22'45""","15°24'41""",SENEGAL/SONA FOR,Forage,1998/03/18,Eocene,117,-16.3791666667,15.4113888889,117
1857,LOUGA,KEBEMER,Ngourane Ouolof,GEOUL,"05-5X-0518","-16°21'31""","15°27'42""",SONAFOR,Forage,1994/09/01,Eocene,112,-16.3586111111,15.4616666667,112
1858,LOUGA,KEBEMER,Ngourane Ouolof,GUEOUL ESCALE P.56,"05-5X-0013","-16°20'16""","15°29'02""",SONAFOR,Forage,1976/01/20,Eocene,101,-16.3377777778,15.4838888889,101
1859,LOUGA,KEBEMER,Ngourane Ouolof,GUEOUL VILLAGE,"05-5X-0104","-16°21'31""","15°27'42""",SENEGAL/SONA FOR,Forage,1998/06/12,Eocene,124.5,-16.3586111111,15.4616666667,124.5
1860,LOUGA,KEBEMER,Ngourane Ouolof,KEUR TIAMBA,"05-5X-0086","-16°21'00""","15°25'30""",WVI,Forage,1987/12/05,Eocene,46,-16.35,15.425,46
1861,LOUGA,KEBEMER,Ngourane Ouolof,KHADJ GUEYE,"05-5X-0172","-16°23'50""","15°24'40""",WVI,Forage,1986/07/26,Eocene,86,-16.3972222222,15.4111111111,86
1862,LOUGA,KEBEMER,Ngourane Ouolof,KHADJI,"05-5X-0100","-16°23'03""","15°26'04""",SENEGAL/SONA FOR,Forage,1999/07/15,Eocene,124,-16.3841666667,15.4344444444,124
1863,LOUGA,KEBEMER,Ngourane Ouolof,KHADJI GUEYE,"05-5X-0098","-16°23'53""","15°25'22""",SENEGAL/SONA FOR,Forage,1998/07/21,Eocene,119,-16.3980555556,15.4227777778,119
1864,LOUGA,KEBEMER,Ngourane Ouolof,KIR DIOM,"05-5X-0097","-16°21'28""","15°27'08""",SENEGAL/SONA FOR,Forage,1999/03/15,Eocene,116,-16.3577777778,15.4522222222,116
1865,LOUGA,KEBEMER,Ngourane Ouolof,KIR DIOM,"05-5X-0103","-16°22'29""","15°26'56""",SENEGAL/SONA FOR,Forage,1998/03/27,Eocene,124.5,-16.3747222222,15.4488888889,124.5
1866,LOUGA,KEBEMER,Ngourane Ouolof,LOYENE SYLLA,"05-6X-0046","-16°18'50""","15°28'50""",WVI,Forage,1987/05/28,Eocene,52,-16.3138888889,15.4805555556,52
1867,LOUGA,KEBEMER,Ngourane Ouolof,MASSAR SEYE,"05-5X-0088","-16°22'05""","15°25'40""",WVI,Forage,,Eocene,60,-16.3680555556,15.4277777778,60
1868,LOUGA,KEBEMER,Ngourane Ouolof,MBAROM DIOP,"05-5X-0166","-16°20'05""","15°25'40""",WVI,Forage,1987/07/15,Eocene,56,-16.3347222222,15.4277777778,56
1869,LOUGA,KEBEMER,Ngourane Ouolof,MBAROM DIOP,"05-5X-0171","-16°20'05""","15°25'40""",WVI,Forage,1987/07/15,Eocene,56,-16.3347222222,15.4277777778,56
1870,LOUGA,KEBEMER,Ngourane Ouolof,MBISSIS,"05-6X-0140","-16°18'50""","15°26'00""",SASIF,Forage,1995/03/22,Eocene,88,-16.3138888889,15.4333333333,88
1871,LOUGA,KEBEMER,Ngourane Ouolof,MBISSIS DIA,"05-6X-0023","-16°19'00""","15°26'10""",INTRAFOR,Forage,1983/03/16,Eocene,82,-16.3166666667,15.4361111111,82
1872,LOUGA,KEBEMER,Ngourane Ouolof,NAYOBE,"05-6X-0136","-16°19'19""","15°27'38""",,Forage,1993/01/01,Maastrichtien,315.4,-16.3219444444,15.4605555556,315.4
1873,LOUGA,KEBEMER,Ngourane Ouolof,NDIALOUYE MARONE,"05-6X-0087","-16°19'50""","15°25'30""",WVI,Forage,1987/12/17,Eocene,55,-16.3305555556,15.425,55
1874,LOUGA,KEBEMER,Ngourane Ouolof,NDIARNO PEULH,"05-5X-0386","-16°20'26""","15°25'51""",,Puits moderne,,Eocene,39.77,-16.3405555556,15.4308333333,39.77
1875,LOUGA,KEBEMER,Ngourane Ouolof,NDIENG NGOURANE,"05-6X-0051","-16°18'00""","15°27'00""",WVI,Forage,1987/06/17,Eocene,55,-16.3,15.45,55
1876,LOUGA,KEBEMER,Ngourane Ouolof,NDJIGUEL NDIAYE,"05-8X-0095","-16°21'00""","15°26'00""",WVI,Forage,2000/03/01,Eocene,65.5,-16.35,15.4333333333,65.5
1877,LOUGA,KEBEMER,Ngourane Ouolof,NDJINIAKH FALL,"05-6X-0053","-16°16'20""","15°25'10""",WVI,Forage,1987/06/27,Eocene,52,-16.2722222222,15.4194444444,52
1878,LOUGA,KEBEMER,Ngourane Ouolof,NDJINIAKH FALL,"05-6X-0055","-16°16'00""","15°25'00""",WVI,Forage,1987/12/31,Eocene,60.5,-16.2666666667,15.4166666667,60.5
1879,LOUGA,KEBEMER,Ngourane Ouolof,NGAYE DIAWAR,"05-5X-0028","-16°20'50""","15°27'10""",WVI,Forage,1987/06/13,Eocene,60,-16.3472222222,15.4527777778,60
1880,LOUGA,KEBEMER,Ngourane Ouolof,NGAYE DIAWAR,"05-5X-0107","-16°21'26""","15°26'25""",SENEGAL/SONA FOR,Forage,1998/07/22,Eocene,115,-16.3572222222,15.4402777778,115
1881,LOUGA,KEBEMER,Ngourane Ouolof,NGAYE DIAWAR I,"05-5X-0033","-16°20'50""","15°27'10""",WVI,Forage,1987/06/06,Eocene,54,-16.3472222222,15.4527777778,54
1882,LOUGA,KEBEMER,Ngourane Ouolof,NGAYE MBELGOR,"05-5X-0055","-16°21'10""","15°26'50""",WVI,Forage,1988/06/18,Eocene,94,-16.3527777778,15.4472222222,94
1883,LOUGA,KEBEMER,Ngourane Ouolof,NGOURANE OUOLOF,"05-6X-0052","-16°17'35""","15°26'45""",WVI,Forage,1987/06/22,Eocene,55,-16.2930555556,15.4458333333,55
1884,LOUGA,KEBEMER,Ngourane Ouolof,NGOURANE OUOLOF,"05-6X-0089","-16°17'40""","15°26'40""",WVI,Forage,1987/07/20,Eocene,55,-16.2944444444,15.4444444444,55
1885,LOUGA,KEBEMER,Ngourane Ouolof,NGOURANE OUOLOF,"05-6X-0100","-16°17'20""","15°27'10""",SONAFOR,Forage,1991/11/15,Eocene,76,-16.2888888889,15.4527777778,76
1886,LOUGA,KEBEMER,Ngourane Ouolof,NGOURANE PEULH,"05-6X-0054","-16°17'35""","15°26'45""",WVI,Forage,1987/06/25,Eocene,52,-16.2930555556,15.4458333333,52
1887,LOUGA,KEBEMER,Ngourane Ouolof,NGUEOUL VILLAGE,"05-6X-0402","-16°19'46""","15°29'13""",,Puits moderne,,Eocene,39.5,-16.3294444444,15.4869444444,39.5
1888,LOUGA,KEBEMER,Ngourane Ouolof,PAKHI KEBE,"05-6X-0098","-16°19'30""","15°27'30""",WVI,Forage,1987/06/10,Eocene,62,-16.325,15.4583333333,62
1889,LOUGA,KEBEMER,Ngourane Ouolof,SINOU PEKH,"05-5X-0034","-16°21'50""","15°25'40""",WVI,Forage,1987/07/22,Eocene,53,-16.3638888889,15.4277777778,53
1890,LOUGA,KEBEMER,Ngourane Ouolof,SINOU PEKH,"05-5X-0093","-16°22'17""","15°25'48""",SENEGAL/SONA FOR,Forage,1999/01/15,Eocene,110,-16.3713888889,15.43,110
1891,LOUGA,KEBEMER,Ngourane Ouolof,THIECKENE SECK,"05-5X-0006","-16°21'00""","15°25'00""",INTRAFOR,Forage,1974/04/23,Eocene,92,-16.35,15.4166666667,92
1892,LOUGA,KEBEMER,Ngourane Ouolof,THIECKENE SECK,"05-5X-0022","-16°21'00""","15°25'00""",INTRAFOR,Piezometre,1974/04/14,Eocene,98,-16.35,15.4166666667,98
1893,LOUGA,KEBEMER,Ngourane Ouolof,TOUBA NDIAW NDIAW,"05-6X-0099","-16°19'35""","15°26'40""",WVI,Forage,1988/05/07,Eocene,57.5,-16.3263888889,15.4444444444,57.5
1894,LOUGA,KEBEMER,Sagatta,BATTAL,"05-9X-0007","-16°14'06""","15°13'54""",SONAFOR,Forage,1976/02/08,Eocene,62,-16.235,15.2316666667,62
1895,LOUGA,KEBEMER,Sagatta,BATTAL,"05-9X-0102","-16°14'00""","15°13'40""",WVI,Forage,1989/03/22,Eocene,41,-16.2333333333,15.2277777778,41
1896,LOUGA,KEBEMER,Sagatta,KANTAR DIAGNE,"05-9X-0016","-16°15'31""","15°12'01""",INTRAFOR,Forage,1983/04/15,Eocene,58.7,-16.2586111111,15.2002777778,58.7
1897,LOUGA,KEBEMER,Sagatta,KANTAR DIAGNE,"05-9X-0096","-16°15'35""","15°12'06""",ASCON LDA,Forage,2006/09/14,Eocene,66.5,-16.2597222222,15.2016666667,66.5
1898,LOUGA,KEBEMER,Sagatta,KANTAR DIAGNE,"05-9X-0175","-16°15'28""","15°12'02""",,Puits moderne,,Eocene,35.43,-16.2577777778,15.2005555556,35.43
1899,LOUGA,KEBEMER,Sagatta,KASSE NDIMB,"05-9X-0103","-16°11'10""","15°15'06""",WVI,Forage,1989/04/10,Eocene,43.5,-16.1861111111,15.2516666667,43.5
1900,LOUGA,KEBEMER,Sagatta,KHANTHIAKH MADEMBA,"05-9X-0039","-16°14'27""","15°14'10""",WVI,Forage,1989/01/09,Eocene,50.5,-16.2408333333,15.2361111111,50.5
1901,LOUGA,KEBEMER,Sagatta,KHANTHIAKH SIDY,"05-9X-0038","-16°15'40""","15°16'30""",WVI,Forage,1989/01/13,Eocene,52.7,-16.2611111111,15.275,52.7
1902,LOUGA,KEBEMER,Sagatta,MAYAYE 1,"05-9X-0111","-16°14'28""","15°15'00""",WVI,Forage,1989/01/24,Eocene,53.5,-16.2411111111,15.25,53.5
1903,LOUGA,KEBEMER,Sagatta,MBAKHISS DIAO,"05-9X-0018","-16°13'35""","15°16'40""",INTRAFOR,Forage,1983/03/05,Eocene,63,-16.2263888889,15.2777777778,63
1904,LOUGA,KEBEMER,Sagatta,MBARO,"05-9X-0107","-16°12'08""","15°15'06""",WVI,Forage,1989/04/13,Eocene,45,-16.2022222222,15.2516666667,45
1905,LOUGA,KEBEMER,Sagatta,MBARO PEULH,"05-9X-0191","-16°11'58""","15°14'28""",,Puits moderne,,Eocene,40.5,-16.1994444444,15.2411111111,40.5
1906,LOUGA,KEBEMER,Sagatta,MERINA YAKHOUR,"05-9X-0108","-16°15'06""","15°15'35""",WVI,Forage,1989/04/06,Eocene,48.8,-16.2516666667,15.2597222222,48.8
1907,LOUGA,KEBEMER,Sagatta,NDIAKHOUMPA I,"05-9X-0045","-16°14'25""","15°16'57""",WVI,Forage,1988/08/03,Eocene,57.5,-16.2402777778,15.2825,57.5
1908,LOUGA,KEBEMER,Sagatta,NDIAW,"05-9X-0109","-16°14'04""","15°12'13""",WVI,Forage,1989/02/17,Eocene,144.5,-16.2344444444,15.2036111111,144.5
1909,LOUGA,KEBEMER,Sagatta,SAGATTA,"05-9X-0003","-16°10'31""","15°16'46""",SASIF,Forage,1953/10/16,Maastrichtien,371,-16.1752777778,15.2794444444,371
1910,LOUGA,KEBEMER,Sagatta,SAM PEULH,"05-9X-0110","-16°14'06""","15°12'14""",WVI,Forage,1989/02/24,Eocene,47.5,-16.235,15.2038888889,47.5
1911,LOUGA,KEBEMER,Sam Yabal,DAROU WAHAB,"06-7X-0004","-15°51'30""","15°09'40""",INTRAFOR,Forage,1973/06/18,Maastrichtien,290,-15.8583333333,15.1611111111,290
1912,LOUGA,KEBEMER,Sam Yabal,NDIKY  LARY,"06-7X-0018","-15°49'20""","15°16'35""",SOCIETE HENAN CHINE,Forage,2004/05/26,Maastrichtien,300,-15.8222222222,15.2763888889,300
1913,LOUGA,KEBEMER,Sam Yabal,NDIKY LARRY,"06-7X-0007","-15°52'50""","15°16'50""",SONAFOR,Forage,1976/03/31,Maastrichtien,288,-15.8805555556,15.2805555556,288
1914,LOUGA,KEBEMER,Sam Yabal,NIAREME YABAL,"06-7X-0021","-15°52'45""","15°11'00""",SASIF,Forage,2006/09/07,Maastrichtien,271,-15.8791666667,15.1833333333,271
1915,LOUGA,KEBEMER,Sam Yabal,SAM YABAL,"06-7X-0002","-15°53'10""","15°12'55""",SASIF,Forage,1962/06/27,Maastrichtien,335.5,-15.8861111111,15.2152777778,335.5
1916,LOUGA,KEBEMER,Sam Yabal,SAM YABAL,"06-7X-0013","-15°54'00""","15°11'00""",SASIF,Forage,1986/10/10,Maastrichtien,311.45,-15.9,15.1833333333,311.45
1917,LOUGA,KEBEMER,Sam Yabal,THIDE NGANADO,"06-4X-0008","-15°52'13""","15°20'11""",,Puits-forage,1976/10/24,Maastrichtien,288.18,-15.8702777778,15.3363888889,288.18
1918,LOUGA,KEBEMER,Thieppe,BAYE DIENG,"05-5X-0356","-16°29'46""","15°34'31""",,Puits moderne,,Eocene,32.1,-16.4961111111,15.5752777778,32.1
1919,LOUGA,KEBEMER,Thieppe,BAYETOURE PEULH,"05-5X-0335","-16°30'39""","15°35'44""",,Puits moderne,,Quaternaire,28.3,-16.5108333333,15.5955555556,28.3
1920,LOUGA,KEBEMER,Thieppe,BOUNDOU GNEVA,"05-5X-0027","-16°36'40""","15°27'29""",SONAFOR,Piezometre,1987/05/23,Continental terminal,75,-16.6111111111,15.4580555556,75
1921,LOUGA,KEBEMER,Thieppe,CAL DAMEL KALIDOU,"05-5X-0305","-16°35'36""","15°38'53""",,Puits moderne,,Quaternaire,8.4,-16.5933333333,15.6480555556,8.4
1922,LOUGA,KEBEMER,Thieppe,COKY DIOP,"05-5X-0074","-16°31'10""","15°29'40""",WVI,Forage,1989/08/29,Quaternaire,51,-16.5194444444,15.4944444444,51
1923,LOUGA,KEBEMER,Thieppe,DAROU FALL II,"05-5X-0509","-16°28'13""","15°33'26""",CGC,Forage,2007/01/19,Quaternaire,85,-16.4702777778,15.5572222222,85
1924,LOUGA,KEBEMER,Thieppe,DIOKOUL NDIARNO,"05-5X-0180","-16°27'00""","15°37'50""",GEOMECHANIK,Forage,2004/02/18,Continental terminal,78,-16.45,15.6305555556,78
1925,LOUGA,KEBEMER,Thieppe,DIOKOUL NDIARNO,"05-5X-0513","-16°27'00""","15°37'50""",GEOMECHANIK,Forage,2004/02/18,Continental terminal,78,-16.45,15.6305555556,78
1926,LOUGA,KEBEMER,Thieppe,DIWANE PEULH,"05-5X-0071","-16°33'00""","15°28'05""",WVI,Forage,1990/03/07,Quaternaire,53.7,-16.55,15.4680555556,53.7
1927,LOUGA,KEBEMER,Thieppe,FORDIOKH WOLOF,"05-5X-0120","-16°31'30""","15°31'00""",SASIF,Forage,2006/10/07,Quaternaire,85,-16.525,15.5166666667,85
1928,LOUGA,KEBEMER,Thieppe,KEUR BAKA LBAYE,"05-5X-0350","-16°29'30""","15°34'53""",,Puits moderne,,Eocene,38.98,-16.4916666667,15.5813888889,38.98
1929,LOUGA,KEBEMER,Thieppe,MAKA DIOP,"05-5X-0109","-16°31'10""","15°27'55""",ASCON LDA,Forage,2006/08/25,Quaternaire,81,-16.5194444444,15.4652777778,81
